id_question,role,term,name_en,code,tree_ids,hierarchy_path,scope_note
2285,primary,Enxaqueca sem Aura,Migraine without Aura,D020326,C10.228.140.546.399.750.450,Doenças › C10.228.140.546.399.750.450,"Cefaleias recorrentes unilaterais pulsáteis, não precedidas ou acompanhadas de aura, em episódios que duram de 4-72 horas. São caracterizadas por DOR de intensidade moderada a severa, agravadas por atividade física e associadas a NÁUSEA e /ou FOTOFOBIA ou FONOFOBIA."
2285,primary,Tratamento Farmacológico,Drug Therapy,D004358,E02.319,Técnicas e Equipamentos Analíticos › E02.319,Uso de MEDICAMENTOS para tratar uma DOENÇA ou seus sintomas. Um exemplo é o uso de ANTINEOPLÁSICOS para tratar o CÂNCER.
2286,primary,Diagnóstico,Diagnosis,D003933,E01,Técnicas e Equipamentos Analíticos,"Determinação da natureza de uma doença ou estado, ou a diferenciação entre elas. A avaliação pode ser feita através de exame físico, exames laboratoriais, ou similares. É possível usar softwares para melhorar o processo de tomada de decisão."
2286,primary,Doença de Alzheimer,Alzheimer Disease,D000544,C10.228.140.380.100; C10.574.945.249; F03.615.400.100,Doenças › C10.228.140.380.100,"Doença degenerativa do CÉREBRO caracterizada pelo início traiçoeiro de DEMÊNCIA. Falhas da MEMÓRIA, no julgamento, no momento da atenção e na habilidade em resolver problemas são seguidas de APRAXIAS severas e perda global das habilidades cognitivas. A afecção ocorre principalmente após os 60 anos de idade e é marcada por atrofia cortical severa e tríade de PLACA AMILOIDE, EMARANHADOS NEUROFIBRILARES e FILAMENTOS DO NEURÓPILO. (Tradução livre do original: Adams et al., Principles of Neurology, 6th ed, pp1049-57)"
2287,primary,Acidente Vascular Cerebral,Stroke,D020521,C10.228.140.300.775; C14.907.253.855,Doenças › C10.228.140.300.775,"Grupo de afecções caracterizadas por perda súbita, não convulsiva, da função neurológica, devido a ISQUEMIA ENCEFÁLICA ou HEMORRAGIAS INTRACRANIANAS. O acidente cerebral vascular é classificado pelo tipo de NECROSE de tecido, como localização anatômica, vasculatura envolvida, etiologia, idade dos indivíduos afetados e natureza hemorrágica versus não hemorrágica (Tradução livre do original: Adams et al., Principles of Neurology, 6th ed, pp777-810)."
2287,primary,Tomografia Computadorizada por Raios X,"Tomography, X-Ray Computed",D014057,E01.370.350.350.810; E01.370.350.600.350.700.810; E01.370.350.700.700.810; E01.370.350.700.810.810; E01.370.350.825.810.810,Técnicas e Equipamentos Analíticos › E01.370.350.350.810,Tomografia utilizando transmissão por raio x e um computador de algoritmo para reconstruir a imagem.
2288,primary,Alcoolismo,Alcoholism,D000437,C25.775.100.250; F03.900.100.350,Doenças › C25.775.100.250,"Doença crônica, primária, com fatores genéticos, psicossociais e ambientais influenciando seu desenvolvimento e manifestações. A doença é geralmente progressiva e fatal. É caracterizada pela falta de controle sobre a bebida, pré-ocupação com a droga álcool, uso de álcool apesar das consequências adversas, e distorções no pensamento, negação notável. Cada um destes sintomas pode ser contínuo ou periódico."
2288,primary,Icterícia,Jaundice,D007565,C23.550.429.500; C23.888.885.375,Doenças › C23.550.429.500,"Manifestação clínica de HIPERBILIRRUBINEMIA, caracterizada pela coloração amarelada da PELE, MEMBRANA MUCOSA e ESCLERA. Icterícia clínica geralmente é sinal de disfunção no FÍGADO."
2289,primary,Hepatite B,Hepatitis B,D006509,C01.221.250.500; C01.925.256.430.400; C01.925.440.435; C06.552.380.705.437,Doenças › C01.221.250.500,"INFLAMAÇÃO do FÍGADO em humanos causada por um membro do gênero ORTHOHEPADNAVIRUS, o VIRUS DA HEPATITE B. É principalmente transmitida por exposição parenteral, como transfusão do sangue contaminado como de produtos sanguíneos, mas também pode ser transmitida por via sexual ou contato íntimo pessoal."
2289,primary,Sorologia,Serology,D012699,H02.781,H › H02.781,"Estudo do soro, especialmente das reações antígeno-anticorpo in vitro."
2290,primary,Doença de Crohn,Crohn Disease,D003424,C06.405.205.731.500; C06.405.469.432.500,Doenças › C06.405.205.731.500,"Inflamação transmural crônica que pode envolver qualquer parte do TRATO DIGESTÓRIO desde a BOCA até o ÂNUS, principalmente encontrada no ÍLEO, CECO, e COLO. Na doença de Crohn, a inflamação que se estende através da parede intestinal da MUCOSA até a serosa, é caracteristicamente assimétrica e segmentar. GRANULOMAS epitelioides podem ser vistos em alguns pacientes."
2291,primary,Dispepsia,Dyspepsia,D004415,C23.888.821.236,Doenças › C23.888.821.236,"Digestão prejudicada, especialmente após alimentação."
2291,primary,Infecções por Helicobacter,Helicobacter Infections,D016481,C01.150.252.400.466,Doenças › C01.150.252.400.466,"As infecções por organismos do gênero HELICOBACTER, particularmente em humanos do HELICOBACTER PYLORI. As manifestações clínicas estão concentradas no estômago, normalmente na mucosa gástrica e antro e no duodeno superior. Essa infecção tem um papel importante na etiopatogenia da gastrite do tipo B e da úlcera péptica."
2292,primary,Diarreia,Diarrhea,D003967,C23.888.821.214,Doenças › C23.888.821.214,"Aumento na liquidez ou diminuição na consistência das FEZES, como evacuação contínua. A consistência fecal está relacionada com a razão entre a capacidade de sólidos insolúveis para reter água e a água total, e não com o total de água presente. Diarreia é diferente de excesso de defecação ou massa fecal aumentada."
2292,primary,Doença Relacionada a Viagens,Travel-Related Illness,D000076082,C23.888.914; I03.883.855,Doenças › C23.888.914,Problemas de saúde associados com VIAGENS.
2293,primary,Hemorragia Gastrointestinal,Gastrointestinal Hemorrhage,D006471,C06.405.227; C23.550.414.788,Doenças › C06.405.227,Sangramento em qualquer segmento do TRATO GASTROINTESTINAL do ESÔFAGO até o RETO.
2293,primary,Úlcera Péptica,Peptic Ulcer,D010437,C06.405.469.275.800; C06.405.748.586,Doenças › C06.405.469.275.800,Úlcera que ocorre nas porções do TRATO GASTROINTESTINAL que entram em contato com o SUCO GÁSTRICO contendo PEPSINA e ÁCIDO GÁSTRICO. Ocorre quando há defeitos na barreira da MUCOSA. As formas comuns de úlcera péptica estão associadas com HELICOBACTER PYLORI e o consumo de drogas anti-inflamatórias não esteroides (NSAIDs).
2294,primary,Refluxo Gastroesofágico,Gastroesophageal Reflux,D005764,C06.405.117.119.500.484,Doenças › C06.405.117.119.500.484,"Fluxo retrógrado de suco gástrico (ÁCIDO GÁSTRICO) e/ou conteúdos duodenais (ÁCIDOS E SAIS BILIARES, SUCO PANCREÁTICO) para dentro do ESÔFAGO distal, frequentemente devido à incompetência do ESFÍNCTER ESOFÁGICO INFERIOR."
2295,primary,Doença Pulmonar Obstrutiva Crônica,"Pulmonary Disease, Chronic Obstructive",D029424,C08.381.495.389; C23.550.291.500.875,Doenças › C08.381.495.389,Doença obstrutiva crônica de fluxo difuso e irreversível. Entre as subcategorias da DPOC estão BRONQUITE CRÔNICA e ENFISEMA PULMONAR.
2295,primary,Espirometria,Spirometry,D013147,E01.370.386.700.750,Técnicas e Equipamentos Analíticos › E01.370.386.700.750,Medida do volume de ar inspirado ou expirado pelo pulmão.
2296,primary,Doença Pulmonar Obstrutiva Crônica,"Pulmonary Disease, Chronic Obstructive",D029424,C08.381.495.389; C23.550.291.500.875,Doenças › C08.381.495.389,Doença obstrutiva crônica de fluxo difuso e irreversível. Entre as subcategorias da DPOC estão BRONQUITE CRÔNICA e ENFISEMA PULMONAR.
2296,primary,Espirometria,Spirometry,D013147,E01.370.386.700.750,Técnicas e Equipamentos Analíticos › E01.370.386.700.750,Medida do volume de ar inspirado ou expirado pelo pulmão.
2297,primary,Dispneia,Dyspnea,D004417,C08.618.326; C23.888.852.371,Doenças › C08.618.326,A respiração com dificuldade ou com esforço.
2297,primary,Asma,Asthma,D001249,C08.127.108; C08.381.495.108; C08.674.095; C20.543.480.680.095,Doenças › C08.127.108,"Forma de transtorno brônquico com três componentes distintos: hiper-responsividade das vias aéreas (HIPERSENSIBILIDADE RESPIRATÓRIA), INFLAMAÇÃO das vias aéreas e intermitente OBSTRUÇÃO DAS VIAS RESPIRATÓRIAS. É caracterizado por contração espasmódica do músculo liso das vias aéreas, RUÍDOS RESPIRATÓRIOS, e dispneia (DISPNEIA PAROXÍSTICA)."
2298,primary,Síndrome da Imunodeficiência Adquirida,Acquired Immunodeficiency Syndrome,D000163,C01.221.250.875.040; C01.221.812.640.400.040; C01.778.640.400.040; C01.925.782.815.616.400.040; C01.925.813.400.040; C01.925.839.040; C12.100.937.640.400.040; C20.673.480.040,Doenças › C01.221.250.875.040,"Defeito adquirido da imunidade celular associado com a infecção pelo vírus da imunodeficiência adquirida humana (HIV), uma contagem de linfócitos T CD4-positivo abaixo de 200 células/microlitro ou menos do que 14 por cento do total de linfócitos, além de um aumento na susceptibilidade a infecções oportunísticas e neoplasias malignas. As manifestações clínicas incluem também emaciação e demência. Esses elementos refletem os critérios para AIDS de acordo com o CDC em 1993."
2299,primary,Hipertensão Pulmonar,"Hypertension, Pulmonary",D006976,C08.381.423; C14.907.489.556,Doenças › C08.381.423,"Aumento da RESISTÊNCIA VASCULAR na CIRCULAÇÃO PULMONAR, geralmente secundária a CARDIOPATIAS ou PNEUMOPATIAS."
2299,primary,Terapêutica,Therapeutics,D013812,E02; VS3.003.001.006,Técnicas e Equipamentos Analíticos,Procedimentos com interesse no tratamento curativo ou preventivo de doenças.
2300,primary,Anemia Ferropriva,"Anemia, Iron-Deficiency",D018798,C15.378.050.196.300; C18.452.565.400.500; SP6.990.625.344.127.255,Doenças › C15.378.050.196.300,"Anemia caracterizada por diminuição ou ausência dos estoques de ferro, baixa concentração de ferro sérico, baixa saturação de transferrina e baixa concentração de hemoglobina ou valor de hematócrito. Nesta condição, os eritrócitos estão hipocrômicos e microcíticos e a capacidade de ligação do ferro está aumentada."
2301,primary,Linfoma não Hodgkin,"Lymphoma, Non-Hodgkin",D008228,C04.557.386.480; C15.604.515.569.480; C20.683.515.761.480,Doenças › C04.557.386.480,"Qualquer linfoma de um grupo de tumores malignos do tecido linfoide que se diferem da DOENÇA DE HODGKIN, sendo mais heterogêneos com respeito à linhagem de células malignas, evolução clínica, prognóstico e terapia. A única característica em comum desses tumores é a ausência das CÉLULAS DE REED-STERNBERG gigantes, uma característica da doença de Hodgkin."
