id,statement,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,exam_year,exam_board,exam_institution,exam_region,tags,areas_conhecimento,assuntos,anulada,ai_decs_descriptors
25651,"Um ensaio clínico com a nova vacina contra dengue (QdengaR), autorizada pela Anvisa para uso no Brasil, produzida pelo Laboratório TAKEDA mostrou os resultados na análise por protocolo, com duas doses da vacina, apresentados na Tabela abaixo: Em relação à eficácia vacinal de 80,2% (IC 95% 73,3-85,3), podemos afirmar:","A eficácia de 80,2% parece indicar que em 19,8% das pessoas vacinadas nenhuma proteção associada à vacina foi conferida.","A eficácia de 80,2% tem boa magnitude, mas o intervalo de confiança não mostrou significância estatística.","A eficácia, calculada pela Redução do Risco Relativo (RRR), parece indicar uma redução da suscetibilidade à infecção de 80,2%.","A eficácia, calculada pelo inverso do Risco Atribuível, indica que 80,2 % da população estará imune à doença, conferindo à população uma boa imunidade coletiva.",,C,,2024,CESUPA,,PA,[],"[""Ciclo Básico"",""Cirurgia Geral"",""Clínica Médica"",""Ginecologia e Obstetrícia"",""Medicina da Família e Comunidade (MFC)"",""Pediatria""]",[],false,"[{""term"":""Eficácia de Vacinas"",""code"":""D000087507"",""tree_ids"":[""E05.952.500""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.952.500"",""scope_note"":""Medida da redução do risco de doença entre vacinados em comparação com pessoas não vacinadas em condições ideais, como em um ensaio clínico. Tal redução da doença medida em condições típicas consiste na eficácia da vacina. Por outro lado, a potência da vacina é medida em testes para assegurar a dosagem e o armazenamento adequados das vacinas, enquanto a imunogenicidade da vacina mede sua capacidade de induzir uma resposta imunitária em um indivíduo vacinado em estudos observacionais."",""name_en"":""Vaccine Efficacy"",""role"":""primary""},{""term"":""Vacinas contra Dengue"",""code"":""D053059"",""tree_ids"":[""D20.215.894.899.162""],""hierarchy_path"":""Compostos Químicos e Drogas › D20.215.894.899.162"",""scope_note"":""Vacinas ou candidatos a vacinas utilizadas para impedir infecção com o VÍRUS DA DENGUE. Incluem a vacina atenuada viva, subunidade de DNA e vacinas inativas."",""name_en"":""Dengue Vaccines"",""role"":""primary""},{""term"":""Dengue"",""code"":""D003715"",""tree_ids"":[""C01.920.852.157"",""C01.925.081.270"",""C01.925.782.350.250.214"",""C01.925.782.417.214"",""SP4.909.332.216.372""],""hierarchy_path"":""Doenças › C01.920.852.157"",""scope_note"":""Doença febril aguda transmitida por picada de mosquitos AEDES infectados com o VÍRUS DA DENGUE. É autolimitada e caracterizada por febre, mialgia, cefaleia e exantema. A DENGUE GRAVE é uma forma mais virulenta da dengue."",""name_en"":""Dengue"",""role"":""secondary""}]"
25650,"Um novo teste diagnóstico de TB pulmonar (denominado provisoriamente de Ellispot). Foi comparado ao teste padrão ouro de cultura (cultura de Lowestein Johson), que tem sensibilidade de 91,9% e especificidade de 100%. Já o teste de Ellispot apresentou sensibilidade de 96% e especificidade também de 100%. Se 200 pacientes sintomáticos respiratórios se submeterem a ambos os testes, qual das afirmativas estará correta em relação ao novo teste?",O teste Ellispot identificará mais pessoas com TB que tiveram o teste negativo.,O teste Ellispot identificará menos pessoas sem a doença em comparação ao padrão ouro.,Seria necessário conhecer a prevalência para poder avaliar a Razão de Verossimilhança positiva do teste Ellispot.,O teste Ellipot identificará menos pessoas com TB que tiveram o teste negativo.,,D,,2024,CESUPA,,PA,,,,false,"[{""term"":""Tuberculose Pulmonar"",""code"":""D014397"",""tree_ids"":[""C01.150.252.410.040.552.846.899"",""C01.748.939"",""C08.381.922"",""C08.730.939""],""hierarchy_path"":""Doenças › C01.150.252.410.040.552.846.899"",""scope_note"":""Infecções por MYCOBACTERIUM nos pulmões."",""name_en"":""Tuberculosis, Pulmonary"",""role"":""primary""},{""term"":""Sensibilidade e Especificidade"",""code"":""D012680"",""tree_ids"":[""E05.318.370.800"",""E05.318.740.872"",""G17.800"",""N05.715.360.325.700"",""N05.715.360.750.725"",""N06.850.520.445.800"",""N06.850.520.830.872""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.318.370.800"",""scope_note"":""Medidas de classificação binária para avaliar resultados de exames. Sensibilidade ou taxa de recall é a proporção de verdadeiros positivos. Especificidade é a probabilidade do teste determinar corretamente a ausência de uma afecção. (Tradução livre do original: Last, Dictionary of Epidemiology, 2d ed)"",""name_en"":""Sensitivity and Specificity"",""role"":""primary""},{""term"":""Padrões de Referência"",""code"":""D012015"",""tree_ids"":[""E05.978.808""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.978.808"",""scope_note"":""Base [metodológica] com valores estabelecidos para se medir quantidade, massa, extensão ou qualidade, p.ex. padrões para massa, soluções, métodos, técnicas e procedimentos usados no diagnóstico e na terapêutica."",""name_en"":""Reference Standards"",""role"":""secondary""},{""term"":""Reações Falso-Negativas"",""code"":""D005188"",""tree_ids"":[""E01.354.340""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E01.354.340"",""scope_note"":""Resultados negativos em pacientes que têm as características para as quais o teste é feito. A classificação de pessoas doentes como saudáveis quando examinadas para a detecção de doenças."",""name_en"":""False Negative Reactions"",""role"":""secondary""}]"
25649,"Na pandemia da COVID-19, ainda com casos detectados neste ano de 2023, os testes diagnósticos rápidos de Ag, com material de swab de oro e naso faringe foram comparados com o padrão-ouro RT-PCR com material semelhante. Na avaliação da acurácia desses testes, podemos usar a medida do Odds-Ratio diagnóstico. Quanto maior a magnitude dessa medida, melhor é o teste. Então, em relação ao Odds-Ratio diagnóstico, assinale a afirmativa verdadeira:","A curva ROC é fundamental nessa avaliação, pois o valor do Odds-ratio diagnóstico é estimado pela área sob a curva.",O Odds-ratio diagnóstico é calculado pela razão entre a Razão de Verossimilhança Positiva e a Razão de Verossimilhança Negativa.,O Odds-ratio diagnóstico tem o mesmo valor do J de Youden nas curvas ROC.,"O Odds-ratio diagnóstico depende da sensibilidade, da especificidade e da prevalência, assim como o Valor Preditivo Positivo.",,B,,2024,CESUPA,,PA,,,,false,"[{""term"":""Sensibilidade e Especificidade"",""code"":""D012680"",""tree_ids"":[""E05.318.370.800"",""E05.318.740.872"",""G17.800"",""N05.715.360.325.700"",""N05.715.360.750.725"",""N06.850.520.445.800"",""N06.850.520.830.872""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.318.370.800"",""scope_note"":""Medidas de classificação binária para avaliar resultados de exames. Sensibilidade ou taxa de recall é a proporção de verdadeiros positivos. Especificidade é a probabilidade do teste determinar corretamente a ausência de uma afecção. (Tradução livre do original: Last, Dictionary of Epidemiology, 2d ed)"",""name_en"":""Sensitivity and Specificity"",""role"":""primary""},{""term"":""Teste para COVID-19"",""code"":""D000086742"",""tree_ids"":[""E01.370.225.312"",""E05.200.312""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E01.370.225.312"",""scope_note"":""Diagnóstico de COVID-19 analisando fluidos corporais ou tecidos para a presença de anticorpos COVID-19, antígenos SARS-COV-2 ou o RNA VIRAL de SARS-COV-2."",""name_en"":""COVID-19 Testing"",""role"":""secondary""}]"
25648,"A atenção domiciliar (AD) é a forma de atenção à saúde oferecida na moradia do paciente e caracterizada por um conjunto de ações de promoção à saúde, prevenção e tratamento de doenças e reabilitação, com garantia da continuidade do cuidado e integrada à Rede de Atenção à Saúde. Com abordagens diferenciadas, esse tipo de serviço está disponível no Sistema Único de Saúde (SUS) e é oferecido de acordo com a necessidade do paciente, a partir do atendimento de diferentes equipes. Sobre o atendimento domiciliar, podemos afirmar:","Segundo a Lei no 8080/90 em artigo acrescido da lei no 10.424/02: Na modalidade de assistência de atendimento e internação domiciliares incluem-se, principalmente, os procedimentos médicos, de enfermagem, fisioterapêuticos, psicológicos e de assistência social, entre outros necessários ao cuidado integral dos pacientes em seu domicílio.","A modalidade AD2, destina-se a usuários que possuam problemas de saúde e dificuldade ou impossibilidade física de locomoção até uma unidade de saúde e que necessitem de maior frequência de cuidado, recursos de saúde e acompanhamento contínuo, sendo realizada pela equipe da ESF.","Segundo a Lei no 8080/90 em artigo acrescido da lei no 10.424/02: O atendimento e a internação domiciliares poderão ser realizados por indicação de qualquer profissional da saúde de nível superior, com expressa concordância do paciente e de sua família.","O Serviço de Atendimento Domiciliar, por meio do programa Melhor em Casa, é composto por diversos profissionais da saúde, que realizam atendimento no domicílio das pessoas que necessitam de cuidados de saúde mais intensivos. O acesso ao SAD é somente feito no hospital em que o usuário estiver internado.",,A,,2024,CESUPA,,PA,,,,false,"[{""term"":""Serviços de Assistência Domiciliar"",""code"":""D006699"",""tree_ids"":[""N02.421.143.524"",""N02.421.539.089"",""SP2.840.052""],""hierarchy_path"":""Saúde › N02.421.143.524"",""scope_note"":""Serviços de saúde comunitária e SERVIÇOS DE ENFERMAGEM que provêm serviços múltiplos e coordenados aos pacientes em seus domicílios. Estes serviços de assistência domiciliar oferecem a visita de enfermeiros, unidades de saúde, HOSPITAIS ou grupos comunitários organizados que utilizam equipe profissional especializada na área da saúde. Difere da ENFERMAGEM DOMICILIAR que é composta por não profissionais."",""name_en"":""Home Care Services"",""role"":""primary""},{""term"":""Sistema Único de Saúde"",""code"":""DDCS016771"",""tree_ids"":[""SP1.852.900.766.548"",""SP9.242.315.475.901.672""],""hierarchy_path"":""Saúde Pública › SP1.852.900.766.548"",""scope_note"":""Conjunto de ações e serviços de saúde, prestados por órgãos ou instituições públicas federais, estaduais e municipais, da administração direta e indireta das fundações mantidas pelo poder público, incluídas as instituições públicas federais, estaduais e municipais de controle de qualidade, pesquisa e produção de insumos, medicamentos, inclusive de sangue e hemoderivados, e de equipamentos para saúde. (Lei 8080 de 19/set/1990 - Lei Orgânica da Saúde)"",""name_en"":""Unified Health System"",""role"":""primary""},{""term"":""Saúde da Família"",""code"":""D005192"",""tree_ids"":[""N01.400.300"",""SP2.770.750.103""],""hierarchy_path"":""Saúde › N01.400.300"",""scope_note"":""Estado de saúde de uma família como unidade incluindo o impacto causado pela saúde de um membro sobre a unidade e sobre cada um dos membros; inclui o impacto causado pela alteração ou não do estado de saúde de seus membros."",""name_en"":""Family Health"",""role"":""secondary""},{""term"":""Legislação como Assunto"",""code"":""D007878"",""tree_ids"":[""N03.706.615"",""SH1.010.030"",""SP9.353"",""VS1.001.002""],""hierarchy_path"":""Saúde › N03.706.615"",""scope_note"":""Trabalhos sobre sanções e promulgações de leis, decretos e sua regulamentação por órgãos oficiais de uma nação, estado, ou outra organização legislativa. Refere-se também a leis e regulamentos em geral relacionados à saúde ou para os quais não há descritor específico."",""name_en"":""Legislation as Topic"",""role"":""secondary""},{""term"":""Equipe de Assistência ao Paciente"",""code"":""D010348"",""tree_ids"":[""N04.590.715""],""hierarchy_path"":""Saúde › N04.590.715"",""scope_note"":""Cuidados prestados a pacientes por uma equipe multidisciplinar comumente organizada sob a direção de um médico; cada membro da equipe tem responsabilidades específicas e toda a equipe contribui para a assistência ao paciente."",""name_en"":""Patient Care Team"",""role"":""secondary""}]"
25647,"As comunidades ribeirinhas são compostas de vários agrupamentos familiares, vivendo em casas de madeira, adaptadas ao sistema de cheias dos rios, dispersas ao longo de um percurso fluvial. Vivem, em sua maioria, à beira de rios, igarapés, igapós e lagos, estando isoladas, com pouco ou restrito acesso às mídias escrita e falada, mesmo com todos os aportes tecnológicos atuais. O transporte nas comunidades ribeirinhas é todo feito por via fluvial em embarcações sem motor (canoas) ou com motor (rabetas e voadeiras), sendo as distâncias calculadas em horas/dias. Sobre as características da atenção primária nas populações ribeirinhas, podemos afirmar:","As Equipes de Saúde da Família Ribeirinhas (eSFR) desempenham a maior parte de suas funções em Unidades Básicas Fluviais, para garantir o acesso em comunidades pertencentes a áreas em que estão à beira do rio.","Considerando as especificidades locais da Amazônia Legal e Pantanal Mato-grossense, os municípios podem optar somente entre dois arranjos organizacionais para equipes de Saúde da Família: ribeirinha ou fluvial, evitando os existentes para o restante do País.",A atuação do médico exige o desenvolvimento de  habilidades  como: realização de procedimentos específicos que seriam referenciados a outros profissionais nos centros urbanos; a interpretação de exames sem laudo de especialistas e o manejo inicial das urgências e emergências.,"As eSFR prestarão atendimento à população por, no mínimo, 20 (vinte) dias mensais, com carga horária equivalente a 6 (seis) horas diárias. Com a equipe mínima composta por: Médico, Enfermeiro, Técnico de Enfermagem e Agente Comunitário de Saúde ou de Combate de Endemias.",,C,,2024,CESUPA,,PA,,,,false,"[{""term"":""Atenção Primária à Saúde"",""code"":""D011320"",""tree_ids"":[""N04.590.233.727"",""SP2.630.121""],""hierarchy_path"":""Saúde › N04.590.233.727"",""scope_note"":""É a assistência sanitária essencial baseada em métodos e tecnologias práticas, cientificamente fundados e socialmente aceitáveis, postos ao alcance de todos os indivíduos e famílias da comunidade mediante a sua plena participação e a um custo que a comunidade e o país possam suportar, em todas e cada etapa do seu desenvolvimento, com um espírito de autorresponsabilidade e autodeterminação. (Declaração de Alma-Ata - Organização Pan-Americana da Saúde, 2003)"",""name_en"":""Primary Health Care"",""role"":""primary""},{""term"":""População Rural"",""code"":""D012424"",""tree_ids"":[""N01.600.725"",""SP3.522.561.500"",""SP4.707.368.780.510.346""],""hierarchy_path"":""Saúde › N01.600.725"",""scope_note"":""Habitantes da área rural ou de pequenos municípios classificados como rurais."",""name_en"":""Rural Population"",""role"":""primary""},{""term"":""Saúde da Família"",""code"":""D005192"",""tree_ids"":[""N01.400.300"",""SP2.770.750.103""],""hierarchy_path"":""Saúde › N01.400.300"",""scope_note"":""Estado de saúde de uma família como unidade incluindo o impacto causado pela saúde de um membro sobre a unidade e sobre cada um dos membros; inclui o impacto causado pela alteração ou não do estado de saúde de seus membros."",""name_en"":""Family Health"",""role"":""secondary""},{""term"":""Acessibilidade aos Serviços de Saúde"",""code"":""D006297"",""tree_ids"":[""N04.590.374.350"",""N05.300.430"",""SP1.852.113"",""SP2.070"",""SP9.242.315.475.156""],""hierarchy_path"":""Saúde › N04.590.374.350"",""scope_note"":""Possibilidade dos indivíduos adentrarem e utilizarem os serviços de atenção à saúde, com vistas à resolução de problemas que afetem a saúde. Dentre os fatores que influem nesta possibilidade incluem considerações geográficas, arquitetônicas, de transporte, financeiras entre outras."",""name_en"":""Health Services Accessibility"",""role"":""secondary""},{""term"":""Área Carente de Assistência Médica"",""code"":""D008507"",""tree_ids"":[""N03.349.650.340"",""N05.300.450.520""],""hierarchy_path"":""Saúde › N03.349.650.340"",""scope_note"":""Área geográfica cujos recursos de saúde são insuficientes (recursos humanos e/ou instalações) para suprir as necessidades médicas da população aí residente."",""name_en"":""Medically Underserved Area"",""role"":""secondary""},{""term"":""Competência Clínica"",""code"":""D002983"",""tree_ids"":[""I02.399.630.210"",""N04.761.210"",""N05.715.175""],""hierarchy_path"":""Antropologia, Educação, Sociologia › I02.399.630.210"",""scope_note"":""A capacidade de realizar aceitavelmente aqueles deveres diretamente relacionados ao cuidado de paciente."",""name_en"":""Clinical Competence"",""role"":""secondary""}]"
25646,"Mulher de 32 anos, chega à unidade de saúde após acidente com material perfurocortante durante o trabalho na cozinha de uma lanchonete próxima da UBS. Após limpeza e sutura da lesão, quais orientações devem ser transmitidas à paciente?","Explicar sobre o preenchimento da Comunicação de Acidente de Trabalho (CAT) pela empresa e sobre a notificação da ocorrência, informando quanto aos cuidados necessários com a lesão e seus direitos trabalhistas.","Referenciar ao CEREST (Centro de Referência em Saúde do Trabalhador) para que o órgão tome medidas adequadas junto à empresa. Na UBS, realizar o curativo e prescrever anti-inflamatório não esteroide para alívio da dor e edema.","Avaliar a lesão e emitir um atestado, afastando-a do trabalho e encaminhando-a para o serviço de medicina do trabalho da empresa para possível readaptação de função, mesmo que seja temporária.",Emitir atestado médico e orientar a paciente a procurar o sindicato para preenchimento da Comunicação de Acidente de Trabalho (CAT).,,A,,2024,CESUPA,,PA,,,,false,"[{""term"":""Acidentes de Trabalho"",""code"":""D000062"",""tree_ids"":[""N06.850.135.240"",""SP8.095.664"",""VS4.002.001.001.007.001""],""hierarchy_path"":""Saúde › N06.850.135.240"",""scope_note"":""Ocorrências imprevistas, especialmente lesões ou traumatismos durante atividades relacionadas ao trabalho."",""name_en"":""Accidents, Occupational"",""role"":""primary""},{""term"":""Saúde Ocupacional"",""code"":""D016272"",""tree_ids"":[""N01.400.525"",""SP2.770.750.763"",""VS4.002.001""],""hierarchy_path"":""Saúde › N01.400.525"",""scope_note"":""Promoção e manutenção no mais alto grau do bem-estar físico, mental e social dos trabalhadores em todas as ocupações."",""name_en"":""Occupational Health"",""role"":""primary""},{""term"":""Traumatismos Ocupacionais"",""code"":""D060051"",""tree_ids"":[""C26.716""],""hierarchy_path"":""Doenças › C26.716"",""scope_note"":""Lesões adquiridas em incidentes durante atividades laborais."",""name_en"":""Occupational Injuries"",""role"":""secondary""},{""term"":""Indenização aos Trabalhadores"",""code"":""D014942"",""tree_ids"":[""N03.219.521.346.866"",""N03.219.521.576.300.900"",""SP8.095.830.702""],""hierarchy_path"":""Saúde › N03.219.521.346.866"",""scope_note"":""Cobertura do seguro que estabelece compensação e benefícios médicos aos trabalhadores por lesões ou doenças relacionados ao trabalho ou à prática laboral."",""name_en"":""Workers' Compensation"",""role"":""secondary""}]"
25645,Observe a figura abaixo e assinale a alternativa correta quanto a esse instrumento de abordagem familiar:,"Consiste na representação gráfica dos contatos dos membros da família com os outros sistemas sociais, incluindo a rede de suporte sócio sanitário.","Representa a presença ou ausência de recursos sociais, culturais e econômicos, sendo um retrato de um determinado momento estático na vida dos membros da família.",Sistema de colheita e registro de dados e que integra a história biomédica e a história psicossocial do paciente e da sua família.,"Instrumento que avalia a satisfação de cada membro da família, e os diferentes escores devem ser comparados para se avaliar o estado funcional desta.",,C,,2024,CESUPA,,PA,,,,false,"[{""term"":""Medicina de Família e Comunidade"",""code"":""D005194"",""tree_ids"":[""H02.403.340.500""],""hierarchy_path"":""Disciplinas e Ocupações › H02.403.340.500"",""scope_note"":""Especialidade médica voltada para a provisão contínua e integrada de cuidados primários de saúde para toda a família."",""name_en"":""Family Practice"",""role"":""primary""},{""term"":""Técnicas Sociométricas"",""code"":""D012963"",""tree_ids"":[""I01.880.866"",""SP3.311.900.913""],""hierarchy_path"":""Antropologia, Educação, Sociologia › I01.880.866"",""scope_note"":""Métodos para avaliar quantitativamente e medir as relações interpessoais e grupais."",""name_en"":""Sociometric Techniques"",""role"":""secondary""},{""term"":""Apoio Social"",""code"":""D012944"",""tree_ids"":[""I01.880.853.500.600""],""hierarchy_path"":""Antropologia, Educação, Sociologia › I01.880.853.500.600"",""scope_note"":""Sistemas de apoio que fornecem assistência e encorajamento para os indivíduos com inaptidão física ou emocional para que eles possam melhor superá-la. O apoio social informal é normalmente provido por amigos, parentes ou semelhantes, enquanto o apoio formal, como o APOIO COMUNITÁRIO, é oferecido por igrejas, grupos etc."",""name_en"":""Social Support"",""role"":""secondary""}]"
25644,"Idoso, 70 anos, estava realizando poda no quintal de sua casa, quando despencou da árvore e acabou vindo a óbito no local. A família acionou o médico da UBS/ESF para orientações, visto que o idoso era acompanhado no grupo de HIPERDIA desta mesma UBS e a família suspeita que ele tenha sofrido um Infarto Agudo do Miocárdio no momento do acidente. Neste caso, qual seria a conduta do médico da ESF, assim que diagnosticou o óbito?","Preencher a Declaração de óbito, pois o idoso já era acompanhado pela equipe da UBS/ESF e o médico vinha prestando assistência ao paciente.",Orientar a família a realizar um Boletim de Ocorrência Policial para que o corpo seja removido pelo Instituto Médico Legal (IML) e periciado pelo médico legista.,"Acionar o Serviço de Verificação de Óbito do município para a remoção do corpo, por se tratar de morte natural presumida.","Preencher a declaração de óbito, após a família realizar um Boletim de Ocorrência Policial, visto que se trata de um óbito ocasionado por acidente pós-causa natural.",,B,,2024,CESUPA,,PA,,,,false,"[{""term"":""Medicina Legal"",""code"":""D005554"",""tree_ids"":[""H02.403.330"",""I01.198.780.937"",""SP9.131.543""],""hierarchy_path"":""Disciplinas e Ocupações › H02.403.330"",""scope_note"":""Aplicação do conhecimento médico às perguntas da lei."",""name_en"":""Forensic Medicine"",""role"":""primary""},{""term"":""Atestado de Óbito"",""code"":""D003644"",""tree_ids"":[""E05.318.308.940.350"",""L01.399.250.900.350"",""N04.452.859.264"",""N05.715.360.300.715.315"",""N06.850.520.308.940.350"",""SP3.311.300.627.102""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.318.308.940.350"",""scope_note"":""Registros oficiais de mortes de indivíduos que incluem a causa da morte certificada por um médico e qualquer outra informação de indentificação necessária."",""name_en"":""Death Certificates"",""role"":""primary""},{""term"":""Acidentes por Quedas"",""code"":""D000058"",""tree_ids"":[""N06.850.135.122""],""hierarchy_path"":""Saúde › N06.850.135.122"",""scope_note"":""Quedas devido a escorregões ou tropeços que podem resultar em lesão."",""name_en"":""Accidental Falls"",""role"":""secondary""},{""term"":""Causas de Morte"",""code"":""D002423"",""tree_ids"":[""E05.318.308.985.550.250"",""N01.224.935.698.100"",""N06.850.505.400.975.550.250"",""N06.850.520.308.985.550.250"",""SP3.311.300.392.432.276"",""SP5.467.413.330.903.187""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.318.308.985.550.250"",""scope_note"":""Todas as doenças, afecções mórbidas ou lesões que produziram ou contribuíram para a morte e as circunstâncias do acidente ou violência que produziram quaisquer de tais lesões. (CID-10, vol.2, 8a ed., rev. e ampl. 2008)"",""name_en"":""Cause of Death"",""role"":""secondary""}]"
25643,"A Hemorragia Digestiva Alta pode ser definida como sangramentos digestivos de pontos oriundos até o ligamento de Treitz como referência. Mais comum acima dos 60 anos, com mortalidade em torno de 10% na maioria dos pacientes, exceto quando associado à comorbidades. Conduzir os riscos desses pacientes de forma estratificada é recomendável, portanto, de acordo com Escore de Rockall, um paciente de 70 anos com história de sangramento gástrico por lesão neoplásica ulcerada confirmada por endoscopia digestiva, apresentando-se taquicárdico (FC 110bat/mim), com PAS >100 mmhg, apresenta risco de ressangramento e mortalidade respectivamente de:","Risco médio, ressangramento em torno de 14% com mortalidade de 5%","Risco alto, ressangramento em torno de 52% e mortalidade de 30%","Risco baixo, ressangramento inferior a 5% e mortalidade menor que 1%","Risco e mortalidade não podem ser estimados por esse Escore, pois ess é específico para monitorização de HDB (Hemorragia digestiva Baixa).",,A,,2024,CESUPA,,PA,,,,false,"[{""term"":""Índice de Gravidade de Doença"",""code"":""D012720"",""tree_ids"":[""E05.318.308.980.438.475.456.500"",""N05.715.360.300.800.438.375.364.500"",""N06.850.520.308.980.438.475.364.500""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.318.308.980.438.475.456.500"",""scope_note"":""Níveis dentro de um grupo de diagnósticos estabelecidos por vários critérios de medição aplicados à gravidade do transtorno de um paciente."",""name_en"":""Severity of Illness Index"",""role"":""primary""},{""term"":""Hemorragia Gastrointestinal"",""code"":""D006471"",""tree_ids"":[""C06.405.227"",""C23.550.414.788""],""hierarchy_path"":""Doenças › C06.405.227"",""scope_note"":""Sangramento em qualquer segmento do TRATO GASTROINTESTINAL do ESÔFAGO até o RETO."",""name_en"":""Gastrointestinal Hemorrhage"",""role"":""primary""},{""term"":""Idoso"",""code"":""D000368"",""tree_ids"":[""M01.060.116.100""],""hierarchy_path"":""Grupos Identificados › M01.060.116.100"",""scope_note"":""Pessoa de 65 anos de idade ou mais. Para uma pessoa com mais de 79 anos, IDOSO DE 80 ANOS OU MAIS está disponível."",""name_en"":""Aged"",""role"":""secondary""},{""term"":""Mortalidade"",""code"":""D009026"",""tree_ids"":[""E05.318.308.985.550"",""N01.224.935.698"",""N06.850.505.400.975.550"",""N06.850.520.308.985.550"",""SP3.311.300.392.432"",""SP5.467.413.330.903""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E05.318.308.985.550"",""scope_note"":""Todas as mortes notificadas em uma população."",""name_en"":""Mortality"",""role"":""secondary""},{""term"":""Endoscopia Gastrointestinal"",""code"":""D016099"",""tree_ids"":[""E01.370.372.250.250"",""E01.370.388.250.250.250"",""E04.210.240.250"",""E04.502.250.250.250""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E01.370.372.250.250"",""scope_note"":""Exame endoscópico, terapia ou cirurgia do trato gastrointestinal."",""name_en"":""Endoscopy, Gastrointestinal"",""role"":""secondary""},{""term"":""Neoplasias Gástricas"",""code"":""D013274"",""tree_ids"":[""C04.588.274.476.767"",""C06.301.371.767"",""C06.405.249.767"",""C06.405.748.789""],""hierarchy_path"":""Doenças › C04.588.274.476.767"",""scope_note"":""Tumores ou câncer do ESTÔMAGO."",""name_en"":""Stomach Neoplasms"",""role"":""secondary""}]"
25642,"Inegável a evolução dos dispositivos de imagens nos últimos anos, que aumentaram a segurança durante o implante de um Cateter Venoso Central (CVC). Em relação às técnicas necessárias para esse procedimento, podemos afirmar:","A punção da veia jugular interna (VJI), pelo acesso anterior, deve ser feita com o paciente em posição de Trendelemburg a 15 graus, com discreta rotação contralateral da cabeça (apoiada sobre coxins), mantendo-a próxima da linha média.","O ponto mais indicado para a punção da VJI, pelo acesso posterior, é no cruzamento da veia jugular externa com a borda anterior do Músculo Esternocleidomastoideu (MECM). Transdutor, seringa e agulha devem estar posicionados e alinhados paralelamente ao ventre anterior do MECM em direção ao mamilo ipsilateral.",A TVP (Trombose Venosa Profunda) prévia parcial não é considerada contraindicação para o CVC na veia escolhida.,"O triângulo imaginário de Haseelbach, formado medialmente pelo ventre esternal e lateralmente pelo ventre clavicular do músculo esternocleidomastóideo (MECM) e tendo como base a clavícula, é a principal referência anatômica para punções da VJID (Veia Jugular Interna Direita).",,A,,2024,CESUPA,,PA,,,,false,"[{""term"":""Cateterismo Venoso Central"",""code"":""D002405"",""tree_ids"":[""E02.148.167"",""E04.100.814.529.875"",""E04.502.382.875"",""E05.157.313""],""hierarchy_path"":""Técnicas e Equipamentos Analíticos › E02.148.167"",""scope_note"":""Colocação de um CATETER intravenoso na veia subclávia, jugular ou outra veia central."",""name_en"":""Catheterization, Central Venous"",""role"":""primary""},{""term"":""Veias Jugulares"",""code"":""D007601"",""tree_ids"":[""A07.015.908.498""],""hierarchy_path"":""Anatomia › A07.015.908.498"",""scope_note"":""Veias do pescoço que drenam o cérebro, a face e o pescoço para as veias braquiocefálica ou subclávia."",""name_en"":""Jugular Veins"",""role"":""primary""},{""term"":""Pontos de Referência Anatômicos"",""code"":""D059925"",""tree_ids"":[""A01.111""],""hierarchy_path"":""Anatomia › A01.111"",""scope_note"":""Pontos de referência localizados por inspeção visual, palpação ou com o auxílio de computador que são úteis na localização de estruturas na superfície ou dentro do corpo humano."",""name_en"":""Anatomic Landmarks"",""role"":""secondary""},{""term"":""Trombose Venosa"",""code"":""D020246"",""tree_ids"":[""C14.907.355.830.925""],""hierarchy_path"":""Doenças › C14.907.355.830.925"",""scope_note"":""Formação ou presença de um coágulo sanguíneo (TROMBO) dentro de uma veia."",""name_en"":""Venous Thrombosis"",""role"":""secondary""}]"
