prova_id,prova_nome,prova_banca,prova_regiao,prova_ano,prova_tipo,prova_created_at,prova_deleted_at,question_id,numero_questao,questao,imagem_indice,url_imagem
"28","AMIL - SP - SP - 2025 - R+ - CIRURGIA","AMIL","SP","SP","2025","2026-04-08T23:24:27.607543+00:00","","2242","13","Mulher, 42 anos, assintomática, foi submetida a uma ultrassonografia de abdome solicitada por rotina, que revelou um nódulo hepático de 3cm no segmento IV. Foi realizada tomografia computadorizada para melhor caracterização da lesão. A paciente não apresenta histórico de etilismo, uso de medicamentos, hepatites ou transfusões prévias. Com base no achado tomográfico mostrado na imagem, qual é o diagnóstico mais provável?","1","https://pdres.s3.amazonaws.com/imgs/170567c959a96ad5fb3b752dfc53fbc1.png"
"28","AMIL - SP - SP - 2025 - R+ - CIRURGIA","AMIL","SP","SP","2025","2026-04-08T23:24:27.607543+00:00","","2244","15","Mulher, 54 anos, sem comorbidades, com queixa de regurgitação e disfagia progressiva há 2 anos, associada a perda de peso não intencional. Refere necessidade de ingerir grande quantidade de água para facilitar a passagem dos alimentos. Conforme a imagem acima, qual a melhor conduta terapêutica nesse caso?","1","https://pdres.s3.amazonaws.com/imgs/d9c714e9ec8e578b4849883cfa62c88e.png"
"28","AMIL - SP - SP - 2025 - R+ - CIRURGIA","AMIL","SP","SP","2025","2026-04-08T23:24:27.607543+00:00","","2245","16","Mulher, 46 anos, com obesidade grave (IMC 44kg/m²), associada a diabetes mellitus e doença do refluxo gastroesofágico, foi submetida a bypass gástrico em Y-de-Roux por videolaparoscopia, sem intercorrências. A paciente evoluiu bem no pós-operatório inicial, com alta após 2 dias. No 6º dia, retorna ao pronto-socorro com queixa de tosse persistente, fraqueza e sensação de mal-estar. Ao exame físico, apresenta FC 115bpm, PA 120x80mmHg, FR 20irpm, sem sinais claros de peritonite ou alterações pulmonares. Conforme a imagem de radiografia de tórax acima, qual a principal hipótese diagnóstica e a melhor conduta a seguir?","1","https://pdres.s3.amazonaws.com/imgs/bb4c0fb9024ebf4aa8fb567de254edfa.png"
"28","AMIL - SP - SP - 2025 - R+ - CIRURGIA","AMIL","SP","SP","2025","2026-04-08T23:24:27.607543+00:00","","2249","20","Paciente homem, 40 anos. com colelitiase sintomática, foi submetido a colecistectomia eletiva com necessidade de colangiografia intra-operatória por dúvida anatômica. De acordo com a imagem da colangiografia acima, qual sua principal hipótese diagnóstica?","1","https://pdres.s3.amazonaws.com/imgs/67db0e9a120cb72dcfb6de30a9d7803d.png"
"28","AMIL - SP - SP - 2025 - R+ - CIRURGIA","AMIL","SP","SP","2025","2026-04-08T23:24:27.607543+00:00","","2262","33","Paciente de 45 anos, com antecedente de pancreatite aguda biliar, foi submetida a colecistectomia laparoscópica com colangiografia, com achado conforme imagem abaixo. Foi realizada colangiopancreatografia retrógrada endoscópica (CPRE) intra-operatória, sem intercorrências. Nas primeiras 48 horas, a paciente desenvolveu dor abdominal, febre de 38,5ºC e leucocitose. Sobre as possíveis complicações após CPRE intra-operatória, qual das alternativas abaixo está INCORRETA?","1","https://pdres.s3.amazonaws.com/imgs/46476615c2100eb01f6629c8627bf377.png"
"28","AMIL - SP - SP - 2025 - R+ - CIRURGIA","AMIL","SP","SP","2025","2026-04-08T23:24:27.607543+00:00","","2267","38","Um homem de 70 anos, com histórico de constipação crônica, é admitido no pronto-socorro com dor abdominal intensa e difusa, distensão abdominal progressiva e ausência de evacuação há 3 dias. Ao exame físico, o abdome está bastante distendido, timpânico à percussão e doloroso à palpação, sem sinais de peritonite. Qual a melhor abordagem inicial para esse paciente, conforme diagnóstico feito pela radiografia acima?","1","https://pdres.s3.amazonaws.com/imgs/ced20b531b0615fd9ff99b4162938b2f.png"
"29","AMIL - SP - SP - 2025 - R+ - CLINICA","AMIL","SP","SP","2025","2026-04-08T23:24:27.704013+00:00","","2283","14","JCMS, masculino, 68 anos, hipertenso e diabético, é trazido ao pronto-socorro com história de cefaleia intensa iniciada subitamente, náuseas e síncope súbita. Exame neurológico inicial revela déficit motor no lado direito e sinais de hipertensão intracraniana. A tomografia de crânio realizada na emergência está representada abaixo: Com base no diagnóstico, na fisiopatologia e no manejo inicial do AVC em questão, qual das alternativas abaixo é a correta?","1","https://pdres.s3.amazonaws.com/imgs/7126f9175e4a311e077775c899f46bdd.png"
"29","AMIL - SP - SP - 2025 - R+ - CLINICA","AMIL","SP","SP","2025","2026-04-08T23:24:27.704013+00:00","","2298","29","VM, masculino, 28 anos, usuário de cocaína e portador de SIDA, com contagem de CD4 de 180 células/mm³, é admitido no hospital com febre, tosse produtiva, dor torácica pleurítica e dispneia. A radiografia de tórax está representada abaixo: Considerando o quadro clínico e radiológico apresentado, qual é a abordagem diagnóstica e a terapêutica inicial mais apropriada?","1","https://pdres.s3.amazonaws.com/imgs/50eb0874262222589c68f097fa22842f.png"
"29","AMIL - SP - SP - 2025 - R+ - CLINICA","AMIL","SP","SP","2025","2026-04-08T23:24:27.704013+00:00","","2303","34","AOM, feminina, 60 anos, tabagista com carga tabágica de 67 anos/maço, vem para atendimento ambulatorial com queixa de tosse persistente, perda de peso e fraqueza, iniciados há 3 meses. A radiografia realizada evidencia a presença de massa em base do pulmão direito: Durante o seguimento clínico, o médico observa alterações comportamentais da paciente e sódio plasmático de 125mEq/L na análise bioquímica do sangue. Qual das síndromes paraneoplásicas, mais comumente associadas ao câncer de pulmão, pode estar causando esse quadro?","1","https://pdres.s3.amazonaws.com/imgs/ca8b0789febc754fd457ae3fcefa1017.png"
"37","AMRIGS - RS - 2025 - MASTOLOGIA","AMRIGS","RS","2025","MASTOLOGIA","2026-04-08T23:24:30.456774+00:00","","2701","22","O procedimento apresentado na Figura 1 abaixo é uma:","1","https://pdres.s3.amazonaws.com/imgs/a803f1a9ae78c9552965c2e5a0c06785.png"
"40","AMRIGS - RS - 2025 - R+ - GO","AMRIGS","RS","2025","R+","2026-04-08T23:24:30.740826+00:00","","2761","7","O procedimento apresentado na Figura 1 abaixo é uma:","1","https://pdres.s3.amazonaws.com/imgs/a803f1a9ae78c9552965c2e5a0c06785.png"
"40","AMRIGS - RS - 2025 - R+ - GO","AMRIGS","RS","2025","R+","2026-04-08T23:24:30.740826+00:00","","2768","14","Analise a cardiotocografia apresentada na Figura 2 abaixo: Segundo o Colégio Americano de Ginecologia e Obstetrícia (2010), qual é a categoria da cardiotocografia apresentada?","1","https://pdres.s3.amazonaws.com/imgs/84060210a0331c9d1933db883694e49f.png"
"41","AMRIGS - RS - 2025 - R+ - PEDIATRIA","AMRIGS","RS","2025","R+","2026-04-08T23:24:33.85354+00:00","","2786","7","Um paciente com Doença Pulmonar Obstrutiva Crônica (DPOC) é admitido na UTI com insuficiência respiratória aguda e é colocado em ventilação mecânica invasiva. Durante a ventilação, o paciente desenvolve hipotensão (TA = 70/35 mmHg), apesar da otimização da pré-carga (recebeu ressuscitação volêmica adequada). A monitorização mostra que o paciente está recebendo um volume corrente adequado e a curva ventilatória é demonstrada abaixo. Qual das seguintes complicações da ventilação mecânica é a causa mais provável da hipotensão nesse paciente?","1","https://pdres.s3.amazonaws.com/imgs/339e4e0f1b996293f3afdf2a505c2508.png"
"42","AMRIGS - RS - 2025 - R1","AMRIGS","RS","2025","R1","2026-04-08T23:24:33.93415+00:00","","2851","47","Na figura 1 abaixo, a seta indica o(s):","1","https://pdres.s3.amazonaws.com/imgs/c7dddd7e4f9f177aaa46b042827b730c.png"
"42","AMRIGS - RS - 2025 - R1","AMRIGS","RS","2025","R1","2026-04-08T23:24:33.93415+00:00","","2855","51","Considerando a figura 2 abaixo, o diagnóstico mais provável e a conduta mais adequada são, respectivamente:","1","https://pdres.s3.amazonaws.com/imgs/ee451548fd724d1165a6b2f94ccc0e94.png"
"42","AMRIGS - RS - 2025 - R1","AMRIGS","RS","2025","R1","2026-04-08T23:24:33.93415+00:00","","2859","55","A figura 3 abaixo mostra um embrião. Considerando a imagem apresentada, o diagnóstico mais provável é:","1","https://pdres.s3.amazonaws.com/imgs/40a3aed3f6058f6c834961ab543bf9ae.png"
"42","AMRIGS - RS - 2025 - R1","AMRIGS","RS","2025","R1","2026-04-08T23:24:33.93415+00:00","","2862","58","A figura 4 abaixo representa as decíduas, os córions e o embrião. Assinale a alternativa que corresponde corretamente à estrutura indicada na imagem.","1","https://pdres.s3.amazonaws.com/imgs/8135867200977e6d3251e217cfa1f4b3.png"
"42","AMRIGS - RS - 2025 - R1","AMRIGS","RS","2025","R1","2026-04-08T23:24:33.93415+00:00","","2877","73","Raquel e Teresa têm 3 anos 6 meses. Raquel pesa 16 kg, e Tereza, 17,5 kg, sendo que ambas estão com 100 cm de altura (1 metro). Considerando o gráfico abaixo, recomendado pela Organização Mundial de Saúde (OMS), os estados nutricionais de Raquel e Teresa são classificados como apresentando _______________ e _______________, respectivamente. Assinale a alternativa que preenche, correta e respectivamente, as lacunas do trecho acima.","1","https://pdres.s3.amazonaws.com/imgs/815f919b0b00a3b4e51cd24e7a4d842f.png"
"44","CCANSPS - MG - 2025 - R1","CCANSPS","MG","2025","R1","2026-04-08T23:24:34.363865+00:00","","3019","55","Com base na imagem ultrassonográfica com Doppler espectral demonstrando o fluxo na artéria cerebral média (ACM) de um feto, identifique a alteração mais provável relacionada à isoimunização Rh grave:","1","https://pdres.s3.amazonaws.com/imgs/bd6ed05c285ecea9627add9357f27958.png"
"44","CCANSPS - MG - 2025 - R1","CCANSPS","MG","2025","R1","2026-04-08T23:24:34.363865+00:00","","3022","58","Paciente, M.C.R.P., 40 anos, G3Pn3A0, com 1 parto fórceps, (em último parto), vida sexual ativa. Refere desde última gestação, há 5 anos , inicio de sensação de ""bola na vagina"" com piora progressiva. Paciente hipertensa em bom controle. Orientada sobre possibilidades de tratamento sendo decidido por correção cirúrgica. De acordo com o exame físico e história, classifique o prolapso e o melhor tratamento cirúrgico: POP-Q: Aa -1.; Ba 0.; C-4; Hg 5; Cp 1; CVT 7; Ap -2.; Bp -1.; D-6;.","1","https://pdres.s3.amazonaws.com/imgs/bddc47f7f5c87e67cc133a5cfdc9083b.png"
"48","CERMAM - AM - 2025 - R1","CERMAM","AM","2025","R1","2026-04-08T23:24:34.860584+00:00","","3154","25","Paciente do sexo masculino, 70 anos, com história de dor abdominal tipo cólica difusa, acompanhada de vômitos e parada de eliminação de gases e fezes há 3 dias. Refere quadro de constipação crônica com uso frequente de medicações laxativas. Ao exame físico se encontra em REG, emagrecida, restrita ao leito, afebril, taquicárdica, taquipneica e normotensa. Seu abdome é algo distendido, sem cicatrizes ou circulação colateral, RHA ausentes, difusamente doloroso à palpação, porém dor mais intensa à palpação profunda da fossa ilíaca esquerda, sem sinais de irritação peritoneal. Toque retal com ausência de fezes ou sangue em dedo de luva. Foi submetida a tomografia de abdome que evidenciou a seguinte imagem: Sobre o caso, assinale a alternativa CORRETA:","1","https://pdres.s3.amazonaws.com/imgs/813fbf76ab0d0d54ef1b1e1918689081.png"
